id,name,number,degree,hobbies,city,personality_traits,sex,age,origin_country,average_grade,language,learning_pace,career_focus
3683,Cassidy Schmidt,+48577066533,Master of Science,"['reading', 'traveling']",Lublin,"['creative', 'jealous', 'forgetful', 'determined', 'unfriendly']",male,23,Poland,4.23,English + Poland,Medium,Medium
3684,Kathy Scott,+48669866381,Bachelor of Science,['music'],Gdansk,"['competent', 'greedy', 'indecisive', 'sneaky', 'tolerant']",female,28,Poland,3.76,English + Poland,Low,Medium
3685,Leslie Jackson,+48442939674,Bachelor of Science,"['music', 'hiking', 'traveling']",Katowice,"['sympathetic', 'pessimistic', 'affable', 'gregarious', 'lazy', 'disloyal']",female,30,Poland,4.97,English + Poland,Low,Medium
3686,David Morales,+48262579620,Master of Science,"['reading', 'sports', 'music', 'hiking']",Gdansk,"['stingy', 'vulgar', 'affable', 'cowardly', 'unpredictable', 'slovenly']",male,26,Poland,2.25,English + Poland,Fast,Medium
3687,Karen Powers,+48472699036,Master of Arts,['traveling'],Katowice,"['trustworthy', 'insightful']",female,24,Ukraine,3.26,English + Ukraine,Fast,High
3688,Nicole Davidson MD,+48262551425,Master of Science,"['traveling', 'dancing', 'cooking', 'reading', 'art']",Gdansk,"['affable', 'indecisive', 'courageous']",female,30,Poland,1.97,English + Poland,Fast,High
3689,Mikayla Carr,+48467674606,Bachelor of Science,"['music', 'dancing', 'hiking', 'cooking', 'reading']",Lublin,['optimistic'],female,30,Poland,1.22,English + Poland,Fast,High
3690,Veronica Duran,+48633650000,Bachelor of Science,"['reading', 'cooking', 'traveling', 'hiking']",Katowice,"['vulgar', 'disrespectful', 'determined', 'unpredictable', 'kind', 'enthusiastic']",female,27,Poland,3.64,English + Poland,Fast,High
3691,Crystal Montgomery,+48470591307,PhD,"['music', 'cooking', 'reading', 'hiking']",Warsaw,"['self-centered', 'finicky']",male,27,Ukraine,2.95,English + Ukraine,Low,High
3692,Erik Bennett,+48951829482,Bachelor of Science,['dancing'],Warsaw,"['congenial', 'responsible', 'discreet', 'disloyal', 'disrespectful', 'reckless']",female,22,Ukraine,3.89,English + Ukraine,Low,Medium
3693,Steven Wade,+48515825809,Bachelor of Arts,"['art', 'music']",Szczecin,"['disrespectful', 'cowardly', 'exuberant', 'understanding']",female,25,Poland,2.53,English + Poland,Medium,Medium
3694,Sierra Rocha,+48574974357,Bachelor of Science,"['dancing', 'traveling']",Wroclaw,"['discreet', 'finicky', 'charismatic', 'intelligent', 'precise', 'cowardly', 'insightful']",female,27,Poland,4.3,English + Poland,Medium,Medium
3695,Scott Wyatt,+48392479991,Master of Science,"['art', 'music', 'dancing']",Poznan,"['persistent', 'pessimistic', 'malicious', 'boorish']",male,22,Poland,1.54,English + Poland,Medium,High
3696,Pedro Johnson,+48036364897,Bachelor of Arts,"['music', 'dancing', 'reading', 'hiking', 'gaming']",Szczecin,"['boorish', 'conceited', 'disrespectful', 'unfriendly', 'greedy', 'affable']",female,23,Ukraine,1.46,English + Ukraine,Low,Low
3697,Thomas Sanders,+48390399494,Master of Science,['dancing'],Gdansk,"['empathic', 'kind', 'reliable', 'enthusiastic', 'dishonest', 'sympathetic']",male,25,Ukraine,3.14,English + Ukraine,Low,Medium
3698,Sherry Pena,+48506355238,Bachelor of Science,['hiking'],Szczecin,['impulsive'],male,30,Poland,3.85,English + Poland,Fast,High
3699,Lisa Evans,+48691066960,Master of Arts,"['music', 'hiking']",Lublin,"['empathic', 'uncertain', 'jealous', 'apathetic', 'forgetful', 'cowardly', 'reckless']",female,28,Poland,3.74,English + Poland,Medium,Low
3700,Christopher Wilson,+48852817721,Bachelor of Science,"['cooking', 'reading', 'traveling', 'gaming', 'art']",Lublin,"['adaptable', 'honest', 'mindful', 'independent', 'forgetful']",male,22,Germany,2.24,English,Fast,Low
3701,Leslie Stephens,+48412882117,Bachelor of Arts,"['art', 'music']",Warsaw,"['creative', 'callous', 'kind', 'exuberant', 'aggressive', 'loyal', 'reliable']",male,22,Germany,1.61,English,Medium,Medium
3702,Joe Mendoza,+48570897594,PhD,"['music', 'traveling', 'dancing', 'art']",Warsaw,"['cowardly', 'argumentative', 'conceited', 'reliable']",female,22,Ukraine,3.19,English + Ukraine,Low,Medium
3703,Jacqueline Munoz,+48772690861,PhD,"['reading', 'art']",Gdansk,['understanding'],female,22,Poland,4.35,English + Poland,Medium,Low
3704,Jeremiah Ferguson,+48889149149,Master of Science,['sports'],Katowice,"['dishonest', 'unfriendly', 'finicky', 'courageous']",male,27,Poland,1.07,English + Poland,Medium,Low
3705,James Fletcher,+48599512334,PhD,"['gaming', 'traveling', 'music', 'hiking', 'reading']",Gdansk,"['determined', 'malicious', 'mindful']",female,24,Poland,2.57,English + Poland,Fast,High
3706,Angel Osborn,+48239505732,PhD,"['sports', 'cooking', 'traveling', 'dancing']",Warsaw,"['aggressive', 'compassionate']",female,25,Ukraine,3.33,English + Ukraine,Fast,Medium
3707,Donald Roy,+48702358141,Bachelor of Arts,"['art', 'cooking', 'sports', 'traveling']",Wroclaw,"['sociable', 'surly', 'finicky', 'insightful', 'determined']",male,23,Ukraine,3.84,English + Ukraine,Medium,Medium
3708,Lindsey Riggs,+48546372839,PhD,"['reading', 'cooking', 'art', 'hiking', 'music']",Warsaw,"['competent', 'thoughtless', 'uncertain', 'compassionate', 'vulgar']",female,28,Ukraine,1.29,English + Ukraine,Medium,Medium
3709,Tonya Knight,+48720548446,Master of Arts,"['dancing', 'reading', 'gaming', 'traveling']",Wroclaw,"['reckless', 'mindful', 'callous', 'tolerant', 'thoughtless']",male,27,Ukraine,3.67,English + Ukraine,Low,Medium
3710,Lindsay Gonzalez,+48318062380,PhD,['cooking'],Warsaw,"['unfriendly', 'determined', 'aggressive', 'uncertain', 'cowardly', 'empathic', 'independent']",male,22,Ukraine,4.22,English + Ukraine,Fast,Low
3711,Sherry Bowen,+48788304536,Bachelor of Science,"['hiking', 'dancing', 'cooking', 'art']",Warsaw,['understanding'],female,28,Poland,1.08,English + Poland,Fast,Medium
3712,Kyle Harrison,+48857330511,Master of Arts,['traveling'],Katowice,"['manipulative', 'accepting', 'creative', 'sneaky']",female,24,France,3.32,English,Low,Medium
3713,Michael Reyes,+48880713237,Bachelor of Arts,['art'],Warsaw,"['aggressive', 'persistent', 'argumentative']",female,22,Poland,4.71,English + Poland,Fast,High
3714,Jennifer Gamble,+48724821250,Bachelor of Science,"['traveling', 'dancing']",Wroclaw,"['broad-minded', 'picky', 'surly', 'empathic', 'sneaky', 'creative']",male,29,Poland,4.06,English + Poland,Medium,Medium
3715,Justin Cannon,+48681164066,Master of Arts,"['hiking', 'sports', 'reading', 'music', 'gaming']",Lublin,"['persistent', 'apathetic', 'courageous', 'cowardly', 'enthusiastic']",male,25,USA,2.23,English,Fast,Medium
3716,Theresa Riley,+48878983864,Bachelor of Science,"['art', 'reading', 'traveling', 'gaming', 'sports']",Poznan,"['aggressive', 'loyal', 'affable', 'apathetic', 'congenial', 'sociable', 'driven']",female,27,Poland,1.45,English + Poland,Medium,Medium
3717,David Fitzgerald,+48970935099,Master of Science,"['dancing', 'hiking']",Lublin,"['stingy', 'discreet']",female,23,Germany,2.74,English,Medium,High
3718,Erika Campbell,+48393279175,Master of Science,"['art', 'reading', 'music', 'cooking']",Katowice,['trustworthy'],female,24,Ukraine,2.15,English + Ukraine,Medium,Medium
3719,Cynthia Lane,+48415639257,Bachelor of Science,['hiking'],Warsaw,"['persistent', 'precise']",male,25,Poland,3.02,English + Poland,Low,High
3720,Danielle Martinez,+48908964594,Master of Science,"['sports', 'dancing', 'gaming']",Lublin,"['bossy', 'congenial', 'lazy']",female,24,Germany,1.64,English,Medium,Medium
3721,Joshua Hoffman,+48163085683,Bachelor of Science,"['music', 'traveling']",Poznan,"['malicious', 'independent', 'enthusiastic']",male,25,Ukraine,4.96,English + Ukraine,Low,Medium
3722,Jamie Diaz,+48680255043,PhD,"['hiking', 'gaming', 'sports', 'music', 'cooking']",Szczecin,['exuberant'],female,24,Poland,2.65,English + Poland,Fast,Medium
3723,Tommy Johnson,+48656759334,Master of Arts,"['cooking', 'hiking']",Poznan,"['lazy', 'responsible', 'understanding', 'loyal', 'patient', 'exuberant']",male,23,Spain,2.05,English,Medium,Low
3724,Rebekah Wilson,+48749018101,Bachelor of Arts,"['art', 'reading', 'traveling', 'hiking']",Katowice,['charismatic'],male,25,Ukraine,4.7,English + Ukraine,Low,Medium
3725,Jennifer Newman,+48277211918,Bachelor of Science,"['sports', 'reading', 'hiking', 'gaming', 'art']",Warsaw,['picky'],male,27,Ukraine,4.39,English + Ukraine,Fast,Low
3726,Stephen Le,+48136002316,PhD,"['dancing', 'traveling']",Lublin,['callous'],male,29,Ukraine,4.54,English + Ukraine,Medium,High
3727,Jennifer Smith,+48413438711,Bachelor of Arts,"['traveling', 'dancing', 'hiking']",Wroclaw,"['kind', 'fair', 'greedy', 'rigid', 'confident']",male,23,Poland,2.87,English + Poland,Low,High
3728,Peter Farrell,+48057179227,PhD,"['cooking', 'dancing', 'traveling', 'reading']",Szczecin,['jealous'],male,27,Poland,2.31,English + Poland,Low,Medium
3729,Erik Becker,+48596631374,Bachelor of Arts,"['sports', 'music', 'dancing', 'reading']",Gdansk,"['fair', 'friendly', 'arrogant', 'thoughtless', 'empathic', 'unpredictable']",male,26,Ukraine,4.81,English + Ukraine,Fast,Medium
3730,Luis Alexander,+48865862329,Master of Arts,"['cooking', 'art', 'traveling', 'gaming']",Szczecin,"['rigid', 'enthusiastic', 'self-centered', 'determined', 'unpredictable', 'kind']",male,29,USA,4.05,English,Low,Medium
3731,Ruben Watts,+48944209173,Bachelor of Science,"['dancing', 'reading', 'sports', 'cooking']",Szczecin,"['humble', 'argumentative', 'finicky', 'confident', 'reckless', 'patient', 'sociable']",female,28,Poland,1.03,English + Poland,Low,Low
3732,Peter Cohen,+48547808304,Master of Arts,"['cooking', 'gaming', 'hiking']",Lublin,"['insightful', 'unfriendly']",female,27,Ukraine,2.6,English + Ukraine,Medium,Medium
3733,Paul Mason,+48434621377,Bachelor of Arts,['sports'],Szczecin,"['jealous', 'indecisive', 'broad-minded', 'conceited']",male,26,UK,4.65,English,Fast,High
3734,Michael Cohen,+48441834263,Master of Science,"['cooking', 'reading', 'music', 'hiking']",Katowice,"['compassionate', 'intelligent']",female,24,Ukraine,4.04,English + Ukraine,Medium,Low
3735,Ronald Hill,+48899548959,Master of Arts,"['reading', 'music', 'art', 'dancing']",Gdansk,['accepting'],male,22,Poland,1.54,English + Poland,Fast,High
3736,Chad Hendrix,+48835725408,PhD,"['reading', 'gaming']",Warsaw,"['surly', 'unfriendly']",male,23,Spain,1.58,English,Fast,Medium
3737,David Johnson,+48499353156,Bachelor of Arts,"['art', 'traveling', 'cooking', 'sports']",Katowice,"['precise', 'indecisive', 'selfish', 'unpredictable', 'understanding', 'creative', 'uncertain']",female,30,Ukraine,4.19,English + Ukraine,Fast,High
3738,David Cunningham,+48499327089,Master of Arts,['gaming'],Poznan,"['understanding', 'thoughtless', 'arrogant', 'determined', 'apathetic']",female,24,Poland,1.44,English + Poland,Medium,Low
3739,Emily Perry,+48196865815,Master of Arts,"['art', 'hiking']",Katowice,"['sociable', 'jealous', 'intelligent', 'reliable', 'independent']",female,23,Poland,4.89,English + Poland,Fast,Low
3740,Douglas Sanchez,+48821469028,Bachelor of Arts,"['dancing', 'cooking', 'traveling']",Wroclaw,"['humble', 'aggressive', 'mindful', 'obnoxious', 'disloyal', 'confident']",female,23,France,4.41,English,Medium,Medium
3741,Jody Stewart,+48124231557,Bachelor of Science,"['cooking', 'hiking', 'traveling', 'dancing']",Lublin,['malicious'],female,22,Poland,4.56,English + Poland,Medium,Low
3742,Jason Holmes,+48687845134,Bachelor of Science,"['dancing', 'traveling', 'cooking']",Warsaw,"['slovenly', 'accepting', 'disloyal', 'insightful', 'enthusiastic']",male,27,Poland,1.54,English + Poland,Medium,Low
3743,Kevin Vargas,+48337212987,PhD,['music'],Wroclaw,"['tolerant', 'rude', 'sympathetic', 'reliable', 'accepting', 'pessimistic']",female,25,Poland,4.62,English + Poland,Fast,Medium
3744,Dawn Munoz,+48071909304,Master of Arts,['hiking'],Krakow,"['congenial', 'sarcastic', 'charismatic', 'surly', 'exuberant', 'kind']",female,25,Ukraine,2.77,English + Ukraine,Fast,Low
3745,Penny Hess,+48387371416,Bachelor of Arts,"['art', 'sports']",Krakow,"['picky', 'selfish', 'bossy', 'disloyal', 'exuberant']",female,26,Poland,3.14,English + Poland,Medium,High
3746,Bradley Scott,+48513589772,Bachelor of Science,"['gaming', 'art']",Warsaw,"['insightful', 'obnoxious', 'kind', 'impatient']",female,22,Ukraine,3.0,English + Ukraine,Fast,Low
3747,Tammie Stevenson,+48157517474,PhD,"['art', 'traveling', 'reading', 'music']",Gdansk,"['independent', 'slovenly', 'cowardly', 'charismatic', 'unpredictable', 'stingy']",female,25,Poland,4.29,English + Poland,Low,Medium
3748,George Hopkins,+48053846098,Bachelor of Science,"['traveling', 'hiking', 'art', 'sports', 'music']",Lublin,"['boorish', 'broad-minded', 'confident', 'tolerant']",male,27,Ukraine,1.06,English + Ukraine,Low,Medium
3749,Timothy Allen DVM,+48330075787,PhD,"['hiking', 'art', 'gaming']",Krakow,"['reckless', 'precise', 'stingy', 'sneaky', 'courageous', 'honest']",female,30,Poland,3.58,English + Poland,Low,Medium
3750,Jessica Franco,+48478462049,Bachelor of Arts,"['hiking', 'sports']",Katowice,['thoughtless'],male,28,Poland,4.2,English + Poland,Fast,High
3751,Walter Garrett,+48658056289,Bachelor of Science,"['dancing', 'gaming', 'art', 'hiking']",Wroclaw,"['jealous', 'forgetful', 'reckless', 'helpful', 'vulgar', 'compassionate']",female,26,USA,3.17,English,Medium,Low
3752,Connie Thomas,+48564913863,Master of Arts,['gaming'],Gdansk,"['insightful', 'conceited', 'dishonest', 'unpredictable']",female,23,France,2.19,English,Medium,Medium
3753,Sherry Wheeler,+48825783416,Bachelor of Arts,"['music', 'reading', 'dancing', 'art', 'gaming']",Warsaw,"['sneaky', 'exuberant', 'greedy', 'rigid', 'tolerant']",male,30,Ukraine,3.2,English + Ukraine,Medium,High
3754,Donald Martinez,+48151551206,Bachelor of Arts,['traveling'],Gdansk,"['responsible', 'fair', 'conceited', 'cowardly']",male,29,Poland,1.27,English + Poland,Medium,High
3755,Lori Leonard,+48615185036,Bachelor of Science,"['sports', 'cooking', 'traveling']",Gdansk,"['sneaky', 'jealous']",male,23,Ukraine,2.08,English + Ukraine,Low,High
3756,Patrick Kelly,+48174650121,Master of Arts,"['reading', 'music']",Poznan,['malicious'],female,29,Ukraine,4.84,English + Ukraine,Fast,Low
3757,Kevin Thomas,+48017868711,PhD,"['dancing', 'reading', 'sports', 'traveling', 'cooking']",Poznan,"['gregarious', 'lazy', 'understanding', 'broad-minded']",female,23,Poland,3.45,English + Poland,Medium,Low
3758,Tracy Scott,+48404687806,Master of Arts,"['gaming', 'hiking', 'reading', 'music']",Katowice,"['callous', 'reliable', 'argumentative']",female,29,Ukraine,2.83,English + Ukraine,Low,High
3759,Mackenzie Weaver,+48907885106,Master of Arts,"['art', 'sports', 'dancing', 'cooking', 'traveling']",Krakow,"['driven', 'apathetic', 'friendly', 'insightful']",female,24,Ukraine,2.74,English + Ukraine,Fast,High
3760,Lauren Holt,+48754247669,Master of Arts,"['hiking', 'gaming', 'art', 'dancing']",Lublin,"['competent', 'gregarious', 'persistent']",male,29,Poland,2.43,English + Poland,Medium,High
3761,Jonathan Bennett,+48999025558,Bachelor of Science,"['cooking', 'gaming', 'traveling']",Gdansk,"['cowardly', 'picky', 'sarcastic', 'creative', 'self-centered', 'courageous']",female,27,Ukraine,3.76,English + Ukraine,Medium,Low
3762,Victoria Morton,+48044253061,Bachelor of Arts,"['cooking', 'dancing', 'reading']",Gdansk,"['compassionate', 'honest', 'broad-minded', 'thoughtless']",male,23,Poland,4.44,English + Poland,Medium,High
3763,Brian Burns,+48179354011,PhD,"['art', 'dancing']",Warsaw,"['confident', 'surly', 'rigid', 'aggressive', 'trustworthy', 'tolerant']",female,26,Poland,3.32,English + Poland,Low,Medium
3764,Amy Smith,+48445073385,Bachelor of Arts,"['traveling', 'hiking', 'music', 'sports', 'art']",Poznan,['malicious'],male,29,Poland,3.37,English + Poland,Fast,Low
3765,Christopher Harding,+48254519124,PhD,"['cooking', 'traveling']",Poznan,"['sociable', 'fair', 'independent', 'insightful', 'dishonest', 'impulsive']",male,28,Poland,4.4,English + Poland,Medium,High
3766,Kathryn Abbott,+48715548901,Master of Arts,"['art', 'hiking', 'music', 'dancing']",Warsaw,"['lazy', 'precise', 'argumentative', 'adaptable', 'honest', 'persistent']",female,30,Poland,2.7,English + Poland,Low,High
3767,Rachel Smith,+48075223342,PhD,"['gaming', 'sports', 'reading']",Warsaw,"['unpredictable', 'independent', 'sarcastic']",female,28,Poland,4.2,English + Poland,Medium,High
3768,Elizabeth Thompson MD,+48617184210,Bachelor of Science,"['cooking', 'gaming']",Lublin,"['unfriendly', 'rude']",female,30,USA,1.74,English,Fast,Low
3769,Krista Reed,+48152088706,PhD,"['music', 'reading', 'hiking', 'gaming', 'sports']",Gdansk,"['manipulative', 'jealous']",male,30,Poland,2.31,English + Poland,Fast,Medium
3770,Jason Frank,+48984304737,PhD,"['cooking', 'gaming', 'music', 'sports', 'traveling']",Lublin,"['gregarious', 'argumentative', 'greedy']",male,25,Poland,1.34,English + Poland,Low,High
3771,Julie Meyers,+48361477581,Master of Arts,['traveling'],Katowice,"['pessimistic', 'cowardly', 'enthusiastic', 'trustworthy', 'sociable']",male,30,Poland,4.68,English + Poland,Fast,Low
3772,Kevin Blackwell,+48927589185,PhD,"['hiking', 'cooking', 'gaming']",Szczecin,"['impatient', 'dishonest', 'obnoxious']",female,24,Ukraine,1.45,English + Ukraine,Medium,High
3773,Amber Graham,+48536386038,Master of Arts,"['reading', 'sports']",Wroclaw,"['fair', 'pessimistic', 'precise']",female,30,Poland,4.53,English + Poland,Low,Medium
3774,Jordan Carrillo,+48208617342,Bachelor of Science,"['reading', 'gaming', 'dancing', 'cooking', 'traveling']",Warsaw,"['unfriendly', 'sarcastic', 'disloyal', 'surly', 'gregarious', 'selfish']",female,23,Poland,2.05,English + Poland,Medium,Medium
3775,Roberto Jackson,+48580828411,Master of Arts,"['dancing', 'hiking', 'art']",Gdansk,"['dishonest', 'selfish']",female,24,Poland,4.32,English + Poland,Medium,Medium
3776,Lisa Andrade,+48829428765,Master of Science,"['dancing', 'art']",Warsaw,"['compassionate', 'honest']",female,25,Ukraine,3.24,English + Ukraine,Low,High
3777,Laura Smith,+48894937832,Master of Arts,"['music', 'dancing']",Warsaw,['persistent'],female,26,Poland,4.35,English + Poland,Low,High
3778,Jose Wallace,+48601201207,Master of Arts,"['art', 'hiking', 'reading', 'music', 'traveling']",Katowice,"['competent', 'greedy', 'fair', 'forgetful']",male,27,Poland,2.97,English + Poland,Fast,Medium
3779,Sarah Joseph,+48559294803,Master of Science,"['dancing', 'music', 'cooking']",Szczecin,"['insightful', 'reliable', 'reckless', 'optimistic', 'thoughtless']",male,25,Ukraine,2.23,English + Ukraine,Medium,Medium
3780,Matthew Deleon,+48433379066,Bachelor of Science,['traveling'],Wroclaw,"['competent', 'argumentative', 'uncertain', 'aggressive', 'picky', 'loyal', 'helpful']",male,26,Poland,1.52,English + Poland,Medium,High
3781,David Arroyo,+48066248777,Bachelor of Science,['cooking'],Warsaw,"['dishonest', 'malicious', 'arrogant']",male,24,Poland,1.5,English + Poland,Low,High
3782,William Evans,+48110304343,Bachelor of Arts,"['sports', 'traveling', 'cooking', 'hiking']",Gdansk,"['finicky', 'confident', 'patient', 'discreet', 'helpful', 'argumentative']",male,23,Italy,2.79,English,Fast,Low
3783,Olivia Brown,+48104133957,Master of Science,"['art', 'sports', 'dancing', 'gaming']",Gdansk,"['fair', 'sarcastic', 'surly', 'slovenly', 'boorish']",male,29,Poland,3.33,English + Poland,Medium,Low
3784,David Gibson,+48641213382,PhD,"['gaming', 'dancing', 'hiking']",Lublin,['mindful'],female,29,Poland,4.79,English + Poland,Low,Low
3785,Nathan Mitchell,+48501913192,Bachelor of Science,['hiking'],Lublin,"['vulgar', 'surly', 'mindful', 'tolerant', 'obnoxious', 'impulsive']",female,24,Poland,3.28,English + Poland,Low,High
3786,Morgan Johnson,+48464089266,PhD,"['traveling', 'music', 'dancing', 'sports']",Szczecin,"['empathic', 'helpful', 'courageous', 'determined', 'reckless', 'driven', 'creative']",female,30,Ukraine,4.14,English + Ukraine,Fast,Medium
3787,Christopher Anderson,+48314486060,Bachelor of Science,"['traveling', 'hiking']",Poznan,"['charismatic', 'impatient', 'driven']",male,28,Italy,2.27,English,Fast,High
3788,Andrew Anthony,+48660196814,Bachelor of Science,"['dancing', 'gaming']",Wroclaw,"['loyal', 'impatient', 'insightful', 'self-centered', 'empathic']",male,29,Ukraine,2.88,English + Ukraine,Low,Low
3789,Paul Santos,+48023877748,Master of Science,"['sports', 'reading', 'art']",Wroclaw,"['impulsive', 'enthusiastic', 'friendly', 'driven', 'congenial', 'charismatic', 'intelligent']",male,26,USA,2.24,English,Fast,High
3790,Edward Flores,+48422487627,Bachelor of Science,"['reading', 'traveling', 'cooking', 'dancing', 'art']",Katowice,['confident'],male,23,Germany,3.41,English,Low,Low
3791,Jason Barrera,+48172035833,Bachelor of Arts,"['sports', 'hiking', 'gaming', 'art']",Szczecin,"['loyal', 'cowardly', 'discreet', 'courageous', 'finicky', 'trustworthy']",female,22,UK,1.03,English,Fast,Medium
3792,Ricky Ryan,+48709825156,PhD,"['reading', 'music', 'dancing', 'art', 'traveling']",Szczecin,['impatient'],female,22,Ukraine,3.16,English + Ukraine,Low,Low
3793,Robert Maldonado,+48771244045,Bachelor of Science,"['sports', 'hiking']",Wroclaw,['friendly'],male,28,Poland,2.93,English + Poland,Medium,Low
3794,Philip Pacheco,+48659573403,Bachelor of Science,['cooking'],Warsaw,"['persistent', 'insightful', 'selfish', 'callous', 'aggressive', 'congenial', 'driven']",male,30,Ukraine,1.32,English + Ukraine,Fast,High
3795,Matthew Morris,+48436583498,Bachelor of Science,"['gaming', 'cooking', 'reading', 'traveling']",Katowice,"['sympathetic', 'apathetic', 'persistent', 'pessimistic']",male,27,Poland,4.9,English + Poland,Medium,Medium
3796,Monica Ingram,+48483267966,Bachelor of Arts,['cooking'],Krakow,"['humble', 'sarcastic', 'impulsive']",female,25,Ukraine,3.09,English + Ukraine,Low,Low
3797,Benjamin Cameron,+48766743226,Master of Arts,"['traveling', 'music', 'hiking']",Wroclaw,['broad-minded'],male,24,Ukraine,2.92,English + Ukraine,Fast,Medium
3798,Ernest Chan,+48709350082,Bachelor of Arts,"['music', 'cooking', 'traveling', 'dancing', 'art']",Gdansk,"['slovenly', 'independent', 'jealous', 'sarcastic', 'cowardly', 'disrespectful', 'confident']",male,22,Poland,3.76,English + Poland,Medium,Medium
3799,Robert Barnett,+48012050745,Master of Arts,"['cooking', 'gaming', 'music', 'reading']",Warsaw,['stingy'],female,30,Poland,1.79,English + Poland,Fast,Medium
3800,Vickie Perkins,+48571999480,PhD,"['art', 'sports']",Szczecin,"['impatient', 'disrespectful', 'friendly']",male,23,Poland,4.06,English + Poland,Fast,Medium
3801,Andrew Rice,+48146963202,Bachelor of Science,"['cooking', 'reading', 'music', 'sports', 'dancing']",Szczecin,"['vulgar', 'courageous', 'intelligent']",male,30,USA,4.91,English,Medium,Medium
3802,Nathan Williams,+48258030684,Master of Arts,"['reading', 'art', 'sports', 'hiking']",Poznan,"['confident', 'persistent', 'honest', 'friendly', 'impatient']",male,28,Ukraine,2.55,English + Ukraine,Low,Low
3803,Louis Byrd,+48073647469,Master of Arts,['traveling'],Poznan,"['competent', 'rigid', 'self-centered']",female,23,France,1.57,English,Medium,Low
3804,Brian Jackson,+48086743860,Master of Arts,"['music', 'gaming', 'hiking']",Katowice,"['boorish', 'loyal', 'empathic', 'congenial', 'optimistic', 'affable', 'kind']",male,28,France,4.73,English,Medium,High
3805,Amy Dalton,+48569637009,Master of Science,"['reading', 'dancing', 'gaming', 'cooking', 'music']",Krakow,"['uncertain', 'loyal', 'confident', 'callous', 'apathetic', 'indecisive']",male,22,Poland,2.62,English + Poland,Medium,Low
3806,Caleb Henson,+48148710850,Master of Arts,['music'],Gdansk,"['unpredictable', 'broad-minded', 'unfriendly', 'selfish', 'exuberant']",male,27,Poland,2.0,English + Poland,Medium,High
3807,Kimberly Sanchez,+48431648341,Master of Arts,['reading'],Lublin,"['sneaky', 'friendly', 'creative', 'surly']",male,23,Poland,3.71,English + Poland,Medium,High
3808,Tasha West,+48959067031,Master of Science,"['dancing', 'music', 'reading', 'gaming']",Lublin,"['sympathetic', 'rigid', 'fair', 'conceited', 'intelligent', 'broad-minded']",male,24,Ukraine,1.79,English + Ukraine,Fast,Low
3809,James Calderon,+48734643248,Master of Science,"['cooking', 'dancing', 'sports', 'music', 'reading']",Wroclaw,"['charismatic', 'affable', 'impatient', 'creative', 'sociable']",female,25,Poland,4.84,English + Poland,Low,Low
3810,Brian Cruz,+48698256358,PhD,['sports'],Warsaw,"['driven', 'manipulative', 'stingy']",female,23,Ukraine,3.33,English + Ukraine,Medium,High
3811,David Norris,+48992219156,PhD,"['music', 'reading', 'dancing', 'cooking', 'art']",Krakow,"['disrespectful', 'stingy', 'pessimistic', 'boorish', 'manipulative']",male,26,Poland,1.02,English + Poland,Low,High
3812,Jean Mann,+48670594944,Bachelor of Science,"['art', 'hiking']",Wroclaw,"['trustworthy', 'accepting', 'helpful', 'responsible', 'exuberant', 'driven']",female,26,Poland,2.43,English + Poland,Medium,Low
3813,Laura Berry,+48130939227,Master of Science,"['music', 'dancing']",Lublin,"['greedy', 'accepting', 'humble']",male,24,Poland,4.82,English + Poland,Medium,High
3814,Kevin Douglas,+48726752710,PhD,['music'],Szczecin,"['selfish', 'accepting', 'kind', 'uncertain', 'impulsive', 'trustworthy']",female,25,Poland,3.31,English + Poland,Medium,High
3815,Rebecca Arroyo,+48103903463,PhD,['traveling'],Wroclaw,"['kind', 'insightful', 'disloyal', 'driven', 'impatient', 'cowardly']",female,24,France,3.93,English,Fast,High
3816,Yvette Bradford,+48867757545,PhD,"['gaming', 'traveling', 'hiking', 'sports']",Lublin,"['apathetic', 'impatient']",male,26,USA,1.06,English,Low,Medium
3817,Jonathan Evans,+48195582855,PhD,"['sports', 'hiking', 'gaming', 'cooking', 'dancing']",Wroclaw,"['conceited', 'persistent', 'jealous', 'sympathetic', 'slovenly']",male,23,France,1.91,English,Medium,High
3818,Kristina Moore,+48286120934,Bachelor of Science,"['dancing', 'sports', 'reading', 'art', 'traveling']",Gdansk,['intelligent'],male,26,Poland,3.79,English + Poland,Fast,Low
3819,Brandon Rodriguez,+48755310948,Bachelor of Arts,"['dancing', 'reading', 'sports']",Szczecin,"['impulsive', 'understanding', 'kind', 'sarcastic']",male,24,Italy,3.54,English,Low,High
3820,Miguel Reilly,+48607461984,Master of Science,"['reading', 'gaming', 'hiking', 'dancing']",Wroclaw,"['trustworthy', 'precise', 'thoughtless', 'conceited']",female,28,Poland,2.81,English + Poland,Low,Medium
3821,Nathan Harris,+48541601738,Bachelor of Arts,"['sports', 'gaming', 'music']",Krakow,"['sneaky', 'intelligent', 'disloyal']",male,22,Ukraine,1.65,English + Ukraine,Low,Medium
3822,Daniel Campbell,+48486665151,PhD,['dancing'],Gdansk,"['unfriendly', 'helpful']",male,28,Poland,1.66,English + Poland,Fast,Low
3823,Brad Carpenter,+48669604937,Master of Arts,['traveling'],Gdansk,"['vulgar', 'determined', 'surly', 'thoughtless', 'optimistic']",male,25,Ukraine,2.16,English + Ukraine,Medium,Low
